FID,MESHBLOCK_CODE_2011_,structural_mean,structural_std,structural_upper_mean,structural_loss_mean,structural_loss_sum
0,50013250000,0.0003199985688542005,0.0003930296479527261,0.001270790486322402,161.47758748735617,5974.670737032178
1,50013630000,0.00046772313431950747,0.00046226094580429885,0.0012828773862867127,220.03556473726593,9461.529283702435
2,50013801000,0.00037825909710074095,0.00047087168098938395,0.001270790486322403,184.30733266169278,2764.609989925392
3,50013802000,0.00022255538935167795,8.83455553570227e-05,0.00029402078507995616,103.67951341611834,829.4361073289467
4,50013803000,0.0003849465579386438,0.00038277862975411795,0.001270790486322403,162.73634678611282,2278.3088550055795
5,50013804000,0.00033404394349784855,0.00038618253285173344,0.001270790486322403,170.72046709482748,1365.7637367586199
6,50013910000,0.0004931727489794546,0.0004866317698429187,0.0013029598757825403,310.74676061031687,14605.097748684893
7,50014001000,0.0003927195343216352,0.00044872369653815245,0.0012161377753832682,271.9707581016056,3807.5906134224783
8,50014002000,0.0003364863118230086,0.0004201527330731289,0.0012871458369734107,169.68976974383455,4411.934013339698
9,50014003000,0.00038936798002504517,0.0004224993264749586,0.001270790486322403,166.5747809415998,1998.8973712991979
10,50014060000,0.0005096058260276222,0.0004816116192260926,0.001270790486322402,295.6846310052992,11827.385240211968
11,50063640000,0.1974133351220209,0.13611049241750942,0.4124405103618463,102446.33036211452,3175836.24122555
12,50064460000,0.27211658946541395,0.175994593318515,0.5381099103805087,168634.86776317097,4384506.561842445
13,50064470000,0.25278158869340245,0.16793456027566708,0.5286893219462572,117339.21067424084,3754854.7415757068
14,50064480000,0.18338410194514,0.1224095170797033,0.44672426245051194,382289.3820935859,10321813.316526819
15,50064540000,0.004953234607548524,0.0017312145824556096,0.007933726990203862,2399.0662376598257,47981.32475319652
16,50064580000,0.2214814763206269,0.1465611957197392,0.4329143703421972,123788.42649167235,4580171.780191877
17,50064590000,0.27877005436382246,0.15433207052115377,0.5174858695263362,174905.33773342468,3673012.0924019185
18,50064600000,0.31872442963449954,0.13879067905208972,0.5083675395095784,161594.75865868793,3393489.9318324467
19,50064620000,0.4872222827675217,0.31190049781929124,0.9065941591868395,326268.8469358921,4894032.704038382
20,50064630000,0.005484852571876906,0.0015642998743810729,0.007933726990203862,2568.703819991187,51374.076399823745
21,50064640000,0.23690445143506636,0.1213699117165272,0.41169152613131554,134979.62021277324,4049388.606383197
22,50064790000,0.004790013213233064,0.0013717382210957638,0.007879089578096726,3195.9425771185834,137425.53081609908
23,50064800000,0.2599028743731448,0.13790878823071484,0.42952266880095114,133071.35051708086,4524425.917580749
24,50064940000,0.2944691478564694,0.13442707137362211,0.5086853191474314,137401.2109072207,5221246.014474386
25,50064980000,0.005857625690113615,0.001935984489493652,0.007933726990203862,4031.027957858371,56434.39141001719
26,50065010000,0.21064720742367846,0.12350389274273993,0.41218523759147724,183164.7541698002,6044436.887603407
27,50065020000,0.20528975741139377,0.17586433622220396,0.5381099103805087,136150.36381857962,3948360.5507388087
28,50065030000,0.006142102508553996,0.0018189399724153565,0.008746459062314116,3781.0669026594333,124775.2077877613
29,50065090000,0.284987175163985,0.12805374814697731,0.4252566771826156,125692.60783612473,6033245.1761339875
30,50065110000,0.23807617886645094,0.15605558645821002,0.4393994579123306,128591.11106326095,3471959.9987080456
31,50065120000,0.21884789280809552,0.1554119123965984,0.4406611173903225,140139.7666458742,5185171.365897344
32,50065140000,0.33179899983045197,0.13722796226355055,0.4337152127982102,251110.46149494924,3264435.9994343403
33,50065150000,0.005478735152123261,0.0019884884791265957,0.007933726990203864,3992.744888234855,119782.34664704565
34,50065160000,0.2607554257536135,0.14939086682298552,0.5016409760326025,150589.57008313295,7529478.504156647
35,50065180000,0.26531880582260936,0.17827108329335903,0.5328901755013936,152212.01725741415,3044240.345148283
36,50065190000,0.25326215306163097,0.15978280440753254,0.5144203443906794,151981.36746599563,5927273.33117383
37,50065200000,0.21611239692398873,0.13936619937002004,0.4612452134327889,173184.96956490283,6581028.843466307
38,50065210000,0.21848570688243021,0.14438325400052412,0.4505135535658872,128875.9736728544,5283914.92058703
39,50065220000,0.005225003599242563,0.0016708534864261217,0.00793372699020386,3884.816012535648,147623.00847635462
40,50065230000,0.1994149094764614,0.12889198056318232,0.3907835036572132,110146.9274918983,4626170.954659728
41,50065241000,0.09193680399101258,0.004945954505775821,0.09193680399101258,63977.63068061588,127955.26136123177
42,50065242000,0.22203616477519952,0.13277124767209117,0.41824615590091113,253397.77520284665,3800966.6280427
43,50065270000,0.27422552147249896,0.13917770870070498,0.44473827817642336,139421.7677137683,3624965.960557976
44,50065280000,0.2373776141183359,0.15523480528674022,0.4752303134646591,145742.96896038766,6266947.66529667
45,50065290000,0.3734387126627074,0.1025643812407721,0.42166400507500446,179052.76208060936,2864844.19328975
46,50065300000,0.2568127065115482,0.1525765398449673,0.5065141588931813,161342.0999702821,8228447.098484388
47,50065310000,0.2473581399360746,0.17294161350533233,0.533977620267876,149196.98958017005,3580727.7499240814
48,50065320000,0.23251829306791852,0.16106530532448532,0.5354295059831254,122778.7674246958,4542814.3947137445
49,50065330000,0.2715260239871755,0.15940682982918308,0.5001723636471564,186623.11270792133,8024793.846440617
50,50065340000,0.0061680017419397095,0.00184536972374327,0.00826897896994934,3477.753077291309,121721.35770519583
51,50065350000,0.23114335535708533,0.14596093076553815,0.4180269664567559,155630.43401299606,6225217.360519842
52,50065360000,0.21178768264392403,0.14641600842097338,0.47241229165301984,125045.50435800212,9003276.313776152
53,50065370000,0.35513314749298425,0.1285446687318412,0.5273435235985069,178795.31926476737,6794222.13206116
54,50065390000,0.25028414599405446,0.17532225703933582,0.5381099103805087,159294.38497329937,4778831.549198981
55,50065400000,0.31144028409050256,0.16848176711742763,0.5381099103805084,165313.18768240296,2810324.19060085
56,50065410000,0.0045548420998029705,0.0011855524276980596,0.006940638106657971,2473.5859888471505,79154.75164310882
57,50065430000,0.005028769653572262,0.001493281859939037,0.007933726990203857,3087.5194383420753,132763.33584870925
58,50065440000,0.2615151091031161,0.14858019745415046,0.4827327100948988,117636.04554609573,5881802.277304786
59,50065450000,0.012121195691147422,0.043335206895096644,0.01573071332257067,7843.882151353106,313755.28605412424
60,50065470000,0.21921345903021508,0.14071844800456218,0.452888321859034,162270.90237463498,7789003.313982479
61,50065480000,0.0053490936993647415,0.0018463249247219365,0.00793372699020386,3238.9794720529712,119842.24046595994
62,50065590000,0.2199744650081593,0.1425584818462637,0.43194859347828707,136356.01839980893,5454240.735992357
63,50065600000,0.2324141569367034,0.13199753822968335,0.38772747055265877,132508.37893601836,4770301.641696661
64,50065661000,0.005710157883358002,0.0005227786240341314,0.0060798181934719085,3548.87252915906,7097.74505831812
65,50065662000,0.004699497967600577,0.0013663263400783294,0.0077994750633120545,3210.2219663526653,112357.76882234328
66,50065663000,0.004845377950298152,0.0013565237505702393,0.007823050862914755,2141.375377185189,77089.5135786668
67,50116980000,0.05686912019484433,0.017132451487608273,0.07991403878380202,48666.64583309281,535333.1041640209
68,50117000000,0.08368927125846033,0.013469930202840864,0.09423529562053287,33528.76329768738,1743495.6914797437
69,50117010000,0.049189142293714135,0.023368110000793474,0.08313076562020486,19896.295052814155,795851.8021125662
70,50117020000,0.047099490013486206,0.023737163257851676,0.08307199849530902,19927.265781724564,1036217.8206496773
71,50117041000,0.09384910317910485,0.0032541153527410466,0.09423529562053286,37429.70505647236,2657509.0590095376
72,50117042000,0.08822364785480631,0.023270168425667058,0.09423529562053293,34571.640332168696,1071720.8502972296
73,50117050000,0.03701788312850275,0.01921137351821255,0.06348470927005408,26400.406298165664,1056016.2519266265
74,50117070000,0.04603688902140858,0.025284627085151008,0.08313076562020483,18655.902656904847,858171.522217623
75,50117080000,0.07429372228134118,0.01240100934289758,0.09423529562053293,30538.72407722298,1007777.8945483584
76,50117100000,0.04775258190020776,0.02313304972236111,0.0822124419911028,20386.030314089436,631966.9397367726
77,50117110000,0.0942352956205329,0.0,0.0942352956205329,36890.52797295393,1438730.5909452033
78,50117120000,0.094235295620533,0.0,0.094235295620533,40653.46580276248,650455.4528441997
79,50117130000,0.07337250829556329,0.011825167748822148,0.09423529562053289,30060.14071110103,1382766.4727106474
80,50117160000,0.04594906595860119,0.023330238919320328,0.08304141209697145,19928.203189099902,717415.3148075965
81,50117170000,0.05128192506042928,0.023932198504842673,0.08313076562020487,22043.796685863315,749489.0873193527
82,50117180000,0.09101327710166349,0.017351100735751485,0.09423529562053294,36230.5053576598,1050684.6553721342
83,50117200000,0.04743642456883567,0.024351283971820053,0.08180386580018867,19682.994813063557,708587.813270288
84,50117210000,0.04442304548227932,0.021342405440502702,0.07992673638973517,18231.587070604382,692800.3086829665
85,50117220000,0.08485488447742626,0.013182905483684303,0.0942352956205329,34400.47783907173,1307218.1578847258
86,50117230000,0.07795487051158342,0.013682162961017647,0.09423529562053293,32417.892079143443,1037372.5465325902
87,50117240000,0.04547905515974598,0.021169407875610363,0.08243380813898425,18826.530828621027,1016632.6647455355
88,50117250000,0.04684559254709771,0.024559824460154315,0.0824131880951612,20044.732781920957,521163.0523299449
89,50117370000,0.04968831471420724,0.0158293291339164,0.058957020788116446,20182.40907207589,141276.86350453124
90,50117380000,0.060991171650873054,0.029752419294170235,0.08775765312034155,26179.917248086436,942477.0209311116
91,50311210000,8.427351427598431e-07,5.46247182202644e-06,1.5856152449867942e-06,0.384826570111892,21.165461356154058
92,50372642000,0.033709965720492945,0.015127316739686942,0.061128528217611555,14144.583483539658,594072.5063086656
93,50372643000,0.030669177338188174,0.022045474999068084,0.056125099188438415,40064.84642203211,120194.53926609634
94,50372644000,0.03230399065729086,0.0156871293429125,0.05841077981175829,14295.097042931364,800525.4344041564
95,50372645000,0.038446256747199904,0.017445219966728584,0.061458353976184835,17077.909162842076,648960.5481879988
96,50372646000,0.03255172490066039,0.013843453812007018,0.056291763400555465,14271.562438871872,456689.9980438999
97,50372647000,0.036376672874078,0.016305780056584986,0.06027318624557451,15625.2742393531,562509.8726167117
98,50372648000,0.0320106330711907,0.014541315101944605,0.05612509918843851,14015.565221812512,2242490.435490002
